Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Business Development Executive,IT Channel (Asia) Limited,JIS00334868,2024-08-22,2024-09-20,"Full Time, Graduate",HKD ($) 17K - 20K per month,1,Tsim Sha Tsui,"Identify business opportunities by identifying prospects and evaluating their position in the industry, research and analyze sales options.
Implement creative ways to improve our clients relationships and drive businesss by promoting our products. Provide strategic and consultative advice to help customers get the best returns.
Maintain relationships with clients by providing support, information and guidance, research and recommend new opportunities, recommend profit and service improvements.
Identify product improvements or new products by remaining current on industry trends, market activities and competitors.
Maintain quality service by establishing and enforcing organization standards.
Contribute to team effort by accomplishing related results as needed.","Degree in any field.
Experience in sales, marketing, consulting or customer support will be an advantage.
High tolerance for ambiguity, with the ability to operate in a fast-paced, dynamic environment. Proactive, independent worker with the capacity to lead, motivate and work well with others.
Effective problem-solving and analytical skills, with the ability to see both detail and big picture challenges.
Strong interpersonal, communication and analytical skills.
Proficient in English, Putonghua and Cantonese.
Good computer skill, especially MS office.
Patient and have strong sense of responsibility.",2023 - 2024,Any Discipline,Bachelor,None,"IT Channel is a local Solutions Integrator company founded in 2003 providing and delivering sophisticate technology solutions to multinational corporations and local enterprises. Our vision is to become the world’s leading Professional Service Network provider in China by ensuring that clients receive the world’s latest technological know-how and the best local expertise to advance their business in this dynamic global marketplace. To cope with our expanding business, we are looking for high calibre professionals joining our professional services team. If you believe yourself a confident professional willing to take challenges, send us your resume.",,"17/F The Cameron, 33 Cameron Road, TST, Hong Kong",teresa.hui@itchannel.com.hk,852 37968017,852 37968002,https://www.itchannel.com.hk/,,Information Technology / Telecom / Technology,Sales / Account Servicing / Business Development
PMO (Project Management Office) Trainee - Enterprise CRM / ERP / HCM,Global Sharp International Limited,JIS00334657,2024-08-22,2024-09-05,"Full Time, Graduate",HKD ($) 25K - 27K per month,2,"HK Island, Hong Kong","MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
A comprehensive development program including job rotation will be provided to the right candidates for securing their career path.
You will:
Handle client queries
Work closely with technical team to deliver quality solution
Monitor project progress and co-ordinate with various stakeholders for necessary resources
Perform ad-hoc duties as assigned by project management office team

**Information collected are strictly confined to recruitment purposes only.","You should have/be:
Degree holder in any discipline
Eager to be success in the tech industry
Experience in enterprise system (e.g. CRM, ERP, HCM etc.) or AI adoption is an advantage but not essential
A fast learner and eager to learn the essences of various industries
Self-motivated, responsible and able to work independently
Good verbal and written communication skills",2021 - 2024,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor",None,"MULTIABLE is the leading enterprise management system developer in Hong Kong with more than 6,000 corporate clients in Hong Kong, Singapore, China and other APAC regions. We are one of the very few IT firms in the region with commitment in cutting edge R&D instead of just being a reseller of foreign IT products.
Over 300 talented individuals, located among Hong Kong, Singapore, Guangzhou, Shenzhen and Shanghai, have joined us and now enjoy being part of a unique adventure. We are constantly reinforcing our team and would like to invite you to be one of us.
It is a core part of our people strategy to nurture and elevate the value of our human capital for achieving long term business success. Our HR policy is dedicated to excavating the young and high potential people to excel in project management and the IT industry and to grow with us.
A comprehensive development program including job rotation will be provided to the right candidates for securing their career path.",,"1/F Dominion Centre, 43-56 Queen's Road East Wanchai, Hong Kong",hrd.hk@multiable.com,25299912,25273253,http://www.multiable.com,Application letter with resume,Information Technology / Telecom / Technology,"IT / Programming
Management Consultant / Business Analyst
Management Trainee"
課餘託管服務 – 兼職課託小組導師,YMCA of Hong Kong,JIS00311651,2024-08-22,2024-09-20,"Full Time, Graduate",HKD ($) 80 - 100 per hour,10,東涌,"職責﹕
小組輔導P1-P3/P4-P6之學生及專科能力提升
核對功課及維持課室秩序
溫習默書、測驗及考試範圍
協助舉行課後活動","工作要求:
須具大專或以上程度 或 持有僱員再培訓局「課餘託管導師證書課程」證書
必須盡責守時、有愛心及有耐性
能獨立控制課室秩序
具教授小組補習經驗 或 具教授特殊學習兒童之經驗將獲優先考慮
導師需每星期工作最少2天，每天5小時",2021 - 2026,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.","Please address your application to : Chan, HRO",41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,2268 7724,2268 7793,http://www.ymcahk.org.hk/,,Quasi-government / Non-profit Organisation,Teaching
Assistant to Chairman,Sheraton Valuers Limited,JIS00333200,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 20K - 30K per month,2,Sheung Wan,"Assist our Chairman in daily operations, explore new stragegy in promoting our service  and meeting clients","Fluent in writing and verbal Chinese (Cantonese and Mandarin) and English
Familiar with internet and online marketing
Working experience is preferrable but not neccessary
 ",2022 - 2024,Any Discipline,Bachelor,1 year,"We established in year 1981, majoring business is agency service for retail properties in Hong Kong.","Please address your application to : Mr. Sunny Yam, Chairman","Unit B, 15/F Wing Cheong Commercial Building, Nos. 19-25 Jervois Street, Sheung Wan, Hong Kong",sunnyyam@svl.com.hk,25260267,28106957,,,Real Estate / Property,Sales / Account Servicing / Business Development
Audit Senior,"WWC Professional Corporation Limited, CPAs (Practising)",JIS00335382,2024-08-21,2024-09-16,"Full Time, Graduate",HKD ($) 24K - 40K per month,2,Hong Kong - Hong Kong Island,"Job duties of Senior Associate
Responsible for reviewing consolidation level financial statements
Formulate detailed task allocations to junior team members
Provide on-the-job coaching to junior members on their substantive assurance tasks, control testing, confirmations control and the like
Responsible for drafting of financial statements in accordance with applicable financial reporting frameworks and disclosure requirements
Act as the primary contact person between client and the assurance team
Maintain a master request list, circulate and communicate it with client daily
Update assurance progress by each material accounts and report overall progress to MIC or engagement leader daily
Identify if any misstatements exist in client’s management accounts and propose audit adjustments
Visiting client’s office in-person to conduct management interviews and attend progress meetings
Other ad-hoc tasks as applicable from time to time
  We offer
“FIREFIGHTER” NOT OUR WISH – welcome on board with us negotiable
Monthly salary HKD 24K to 40K depending on the year of experience and current salary level, successful candidate can expect a competitive offer
US / global career development path
5-day work
Exam leave
Work-life balance (American work culture)
Medical insurance coverage
Discretionary bonus
  Benefits
Annual leave and public holiday
Meal allowance
Travel allowance
Buffet gathering","Requirement
Graduate with bachelor degree or above
Minimum 2 years of hands-on Hong Kong assurance experience required
Big 4 assurance experience with listed company exposure a plus
Second-tier / local firm working experience welcomed
CPA license holder of major accounting institutes would be a big tick
Candidates of any major CPA licensing institutes are welcomed
Familiar with MS software
Good command of Chinese and English; knowledge in Mandarin is preferred
Occasionally travel to PRC / overseas locations
Communicative in Japanese supporting business in Japan would be value-added",2021 - 2024,Accounting & Finance,"Bachelor, Master / Postgraduate Diploma",2 years,"The Hong Kong office of WWC Professional Corporation ( https://wwccpa.com/ ) is looking for Senior Associate, who wish to explore career development in Hong Kong or overseas i.e. the United States.
  WWC Professional Corporation, founded in 1981 in the United States, is an approved registrant of Public Company Accounting Oversight Board (PCAOB) of the United States and Canadian Public Accountability Board (CPAB), as well as a member of the Hong Kong Institute of Certified Public Accountants (HKICPA).
  We are a globalized CPA firm with offices in America, Singapore, Malaysia, Japan, Hong Kong, China and Taiwan supporting our growing business in IPO and assurance services of Nasdaq listed companies. Our US-listed clients operate in various industries ranging from arts trading to IT applications, and from green tech to natural resources explorations.
  If you wish to kick-start your career path beginning from Hong Kong but with an aim of acquiring professional qualifications to suit American accounting standards and participating in the US Capital market, we like to help you achieve your goal. Graduates who plan to obtain a CPA license in either AICPA, CPA Australia, HKICPA and CICPA are all welcomed.",Please address your application to : Michael Leung,"Unit B-D, 16/F, Yardley Commercial Building, 3 Connaught Road West, Sheung Wan, Hong Kong 香港上環幹諾道西3號億利商業大廈16樓B-D室",michael.leung@wwccpa.com.hk,28686058,,https://wwccpa.com/,Just CV is sufficient,Accounting / Audit / Taxation,Accounting / Auditing / Tax
Assistant,Alles Compliance Consulting Limited,JIS00335741,2024-08-21,2024-09-14,"Full Time, Graduate",HKD ($) 16K - 19K per month,2,Sheung Wan,"Perform administrative tasks, including filing and photocopying
Write emails, memos and letters
Implement and/or develop office procedures and record systems
Manage database entry and client files
Order and maintain supplies",Good command of English is an advantage ,2021 - 2023,Any Discipline,"Bachelor, Higher Diploma / Associate Degree",1 year,"Alles is one of the leading experts on financial services compliance in Hong Kong. We aim to make compliance simple and accessible to everyone. Established in 2017, Alles has served more than 20 financial institutions.
Alles provides a wide range of consulting services and compliance solutions to financial professionals and licensed corporations. We have a broad experience in supporting fund managers, corporate financial advisers, and securities brokers in Hong Kong. The services we provide include licensing services, on-going compliance support, compliance training, and human resourcing.",,"Unit 2005, 22/F., 299QRC, 287-299 Queen’s Road Central, Sheung Wan, Hong Kong",el@allescompliance.com,35651367,,,"Interested candidates, please provide your resume and state your expected salary.",Others,Administration - Private Sector
E-Commerce Officer,Hong Kong Technology Venture Company Limited,JIS00335746,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 17K - 22K per month,1,Tseung Kwan O,"What You Will Be Doing
Assist merchants, both newly acquired or existing accounts, on daily operations, including but not limited to order management, logistics arrangement, customer services, bank-end system enquiries, marketing promotion etc.
Maintain service level to merchants in every aspect
Assist in merchant training workshops and develop merchant education and marketing materials
Streamline operation procedures and facilitate the newly acquired merchants in every aspect
Regular review the workflow in regard to the fast-growing business
Plan and improve the efficiency of work processes, by working closely with internal stake holders
Manage and upgrade the E-commerce system to fulfill business needs
Carry out and complete ad hoc projects and tasks assigned by Management","Who is our Right Fit
Degree in business or other related discipline
Minimum 1 year of relevant working experience
Experience in e-Commerce / retail / training/ Customer Service industry is an advantage
Proficient in MS Office, particularly in PowerPoint, knowledge in Salesforce is an advantage
Good presentation and interpersonal skills
Fluent written and spoken English and Chinese",2021 - 2024,Any Discipline,Bachelor,None,"Hong Kong Technology Venture Company Limited is a Hong Kong listed company (SEHK: 1137).
The Group currently engages in the development of Hong Kong's largest 24-hour online shopping mall, HKTVmall, providing an ""one-stop shop"" platform to people in Hong Kong, including entertainment, online shopping, delivery service and impressive customer experience. The Group has set up another business in 2020 – Shoalter Technology Limited (“Shoalter”) – a technology provider on eCommerce solution aiming to enable any traditional supermarkets or retailers locally and globally to enter into digital retailing successfully.
Aiming to seize the opportunity in eCommence and technology development, it’s your turn now! Welcome you to join HKTV Group NOW to create a new career peak under the leading eCommerce and technology brand in Hong Kong.
Being a HKTVer, You Can Enjoy

Competitive salary with attractive Talent Benefits, including:
Five-day week with flexi working hours before 10.00 am for selected functions in TKO office
Over 300,000 square feet headquarter, well equipped with self-run canteen, relaxing collaboration area
Free morning bus from selected districts (such as Tuen Mun, Tsuen Wan, Shatin, etc.) to office
Free round-trip shuttle bus service to the nearest MTR stations 3 times per hour
Talent 20% Off Purchase Discount Program
Attractive education partnership allowance
16 - 24-day annual leave, marriage, maternity, paternity, exam, birthday leave*, 2-day family care leave*, full pay sick leave and compassionate leave
Comprehensive dental benefit
Medical and life insurance coverage
Professional training and career advancement opportunities
*for Talents with over 1-year employment

We hope to see all high caliber talents joining this unparalleled e-commerce platform very soon.",,"1 Chun Cheong Street, Tseung Kwan O Industrial Estate",career@hktv.com.hk,,,https://applynow.net.au/jobs/HKTV183,,Media / Publishing / Communication,"Sales / Account Servicing / Business Development
Customer Services - Retail / Hotel / Tourism and Others"
Audit assistant,Stella W.M. Kwok & Co,JIS00335751,2024-08-21,2024-09-18,"Full Time, Graduate",HKD ($) 18K per month,1,Kowloon,"Engage into annual audit and profits tax assignments
Assist the audit senior from audit plan to analyical review stage
 ","Application skill in using Office Word and Excel (Python )
Knowledge of applying Openai such as ChatGPT, POE or MS Copilot.
Good English / presentation. ",2023 - 2024,Accounting & Finance,"Bachelor, Higher Diploma / Associate Degree",None,"We are a well-established audit firm over thirty years with twenty people.
We provide professional service in audit, tax planning and corporate service to small NMC group and foreign clients from Europe.",,"Office C 11/F., Billion Plaza 2,10 Cheung Yue Street,Cheung Sha Wan.Kowloon",edmund@stellakwokcpa.com.hk,852 23001651,852 23842778,https://www.stellakwokcpa.com.hk,,Accounting / Audit / Taxation,Accounting / Auditing / Tax
Family Financial Planning Consultant,The HAIDER Family Office Limited,JIS00335754,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 20K - 30K per month,1,Quarry Bay,"We Cordially Invite You To Join Our Family.
- - - - - - - - - - - - - - - - - - - -
(1) We offer
Provide comprehensive training to become a professional financial planning Consultant;
Unlimited Income: Monthly allowance, High commission, Unique monthly bonus, Year-end bonus;
Fast-track promotion program to management level;
Free overseas travel;
Flexible working hours;
Work-life balance opportunity.
  (2) This position requires providing comprehensive financial advice and solutions to families, including
Analyzing financial situations and providing comprehensive financial advice and solutions;
Understanding market trends, managing family investment portfolios, and balancing risks;
Establishing long-term financial principles to ensure financial stability and long-term development;
Providing relevant additional services to give family a thoughtful experience and support;
Improving knowledge and skills to maintain top-notch financial advice and support services.","(3) You will need
Good communication and interpersonal skills to build long-term relationships with clients;
Empathy and quick thinking skills to provide comprehensive solutions;
Time management and organizational skills to effectively handle multiple tasks simultaneously.
  (4) The following qualifications are preferred
Relevant academic backgrounds, such as global finance, financial planning, etc.;
Relevant experience, such as banking, consulting, etc.;
Relevant licenses, such as securities, insurance licenses, etc.",2021 - 2024,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",1 year,"THE HAIDER is dynamic and ambitious group, committed to providing professional and personalized family wealth management services. We take pride in our team, with over 80% of our members holding master's degrees or higher qualifications. We also prioritize continuous professional development for our team.

At THE HAIDER, we place great emphasis on making a positive impact in the community. We actively participate in youngster financial education and support family growth.",,,hr@the-haider.com,62238818,,,,Banking / Financial Services,"Banking and Finance Executive
Management Trainee
Sales / Account Servicing / Business Development"
Bank Operation intern(Retail Banking Services),ZhongAn Technologies International Group Limited,JIS00335756,2024-08-21,2024-09-10,"Full Time, Graduate",HKD ($) 50 per hour,5,Pok Fu Lam Cyberport,"Job Description
Conduct client onboarding process, periodic review and trigger event review
Assist in KYC system and workflow enhancement
Stay updated on AML/CDD measures and ensure compliance with internal policies and regulatory requirements
Handle enquiries and requests from law enforcement agencies and governmental organizations
Ensure accuracy of information and completion within assigned timeframe
Liaise and collaborate with internal stakeholders
Perform ad-hoc duties as assigned by supervisors
 ","Skills & Requirements
Full-time undergraduate/ postgraduate degree student with outstanding academic background
A keen interest in banking industry and Fintech
Great sense of ownership to ensure efficient and quality deliverables
Self-motivated and able to work independently
Proficient in Microsoft software (Word, Excel, PowerPoint), Chinese and English typing
Good command of verbal and written English and Chinese",2024 - 2025,Any Discipline,Bachelor,None,"众安科技国际集团有限公司（「众安国际」）由中国纯在线保险科技公司众安在线财产保险有限公司（港交所股份代号：6060）于2017年12月在香港成立，旨在探索海外市场金融科技和保险科技领域的国际业务发展、合作和投资机会。2018年8月，众安国际与软银愿景基金宣布合作，共同推动众安科技在中国以外的技术解决方案业务，最初将重点放在亚洲。2018年9月，众安国际宣布将支持日本保险巨头Sompo的数字化转型，其下一代保险系统基于端到端云技术构建。2019年1月，众安国际与东南亚领先的线上线下移动平台Grab宣布成立合资公司，进军该地区的数字保险分销业务。2021年10月，ZATI从友邦保险和周大福等投资者的A轮融资中筹集了2.3亿美元+，成为本土的香港金融科技独角兽。

2020年3月24日，众安国际旗下众安银行正式成为香港首家虚拟银行，为香港客户提供打破常规和时间界限的银行产品和服务。2020年5月4日，众安国际与富邦人寿保险（香港）有限公司的合资企业众安人寿有限公司获香港保险业监管局根据其快速通道先导计划授予纯数字保险公司牌照，以「众安保险」为商号。它旨在以创新的保险服务和产品满足不同人群的需求，为更广泛的人群提供保障。",,"Unit 1302-03, Level 13, Core F, Cyberport 3, 100 Cyberport Road, Hong Kong",career@za.group,3665 3665,,,,Banking / Financial Services,Banking and Finance Executive
Web Designer Intern,Young Living Hong Kong Limited,JIS00335763,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 60 - 70 per hour,1,Causeway Bay,"Responsibilities:
Manage and create content for the website, driving content development, implementation of new features and website maintenance
Responsible for website UI design, web-content layouts and assets
Provide support to marketing tasks involving Product Launch/ Promotions/ Digital Marketing projects, and activities as assigned
Implement SEO strategies to improve organic search rankings and increase organic website traffic
Other marketing responsibilities as appropriate","Qualifications and Requirements:
Familiar with programming languages, including HTML, CSS, JavaScript, etc. 
Higher Diploma/ Associate Degree/ Degree in Computer Science, Information Technology, Digital Marketing or other disciplines  
Proven working experience in web programming / maintenance is a plus
A good team player who is collaborative, creative and self-motivated
Growth mindset and highly organized
Undergraduate and less experience will also be considered",2021 - 2028,Any Discipline,"Higher Diploma / Associate Degree, Master / Postgraduate Diploma, Bachelor",None,"Young Living Essential Oils, a health and wellness global company headquartered in US, inspires wellness, purpose, and abundance by distilling nature's greatest gifts into pure essential oils. We are currently looking for qualified candidates to join our growing team in Hong Kong office.",,"20/F, Soundwill Plaza II Midtown, 1 Tang Lung Street, Causeway Bay, Hong Kong",hkhr@youngliving.com,2897-5600,,https://www.youngliving.com/en_HK,,Others,IT / Programming
Digital Content Creator / Copywriter- English/ Chinese,Adbees Digital Limited,JIS00335772,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 40 - 60 per hour,2,Lai Chi Kok,"  Write and develop well-researched content for digital Marketing
Copywriting for SEM/ SEO/ Facebook/ Google advertisements 
Create/ Optimise Engaging headlines and Content to attract target audiences
Responsible for writing, editing, and proof reading of marketing materials as well as communications materials
Work closely with internal teams to develop, organize, and write project documentation","Diploma holder or above in Marketing/ Communication/ Translation/ Languages or related disciplines
Experience in digital journalism and social media content curation is preferred
Excellent writing, editing and communication skills in Chinese. Proficiency in  English writing is an advantage
Knowledge in video production and editing is an advantage",2024 - 2026,Any Discipline,"Higher Diploma / Associate Degree, Bachelor",None,"A new & Energetic Digital Marketing agency, offering all-rounded digital marketing services from Social Media Marketing, Video Marketing, Search Engine Marketing and influencer Marketing.",,,info@adbeesdigital.com,35963114,,,,Advertising / Public Relations / Event Management,Journalist / Editor / Translation / Copy Writing / Communications
Multimedia/Graphic Designer,Adbees Digital Limited,JIS00335773,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 40 - 60 per hour,2,Lai Chi Kok,"Create Motion graphics
Video shooting and editing
Social media visual and feed designs
To support in creating and editing graphics and other visual content
 The ability to retouch photos, and experience in shooting is preferred","Requirements:
Diploma or above in multimedia/Creative Media/Graphic design
Good communications in Chinese
Proficient in After effect, Premium, Photoshop, illustrator, and Video editing tools
Knowledge and experience in photography and digital optimization technology is added advantage",2024 - 2026,"Creative Media, Design, Graphic & Commercial Arts, New Media","Bachelor, Higher Diploma / Associate Degree",None,"A New & Energetic Digital Marketing agency, offering all-rounded digital marketing services from Social Media Marketing, Video Marketing, Search Engine Marketing and influencer Marketing.",,,info@adbeesdigital.com,35963114,,,,Advertising / Public Relations / Event Management,"Creative / Design / Artist
Marketing / Market Research
Journalist / Editor / Translation / Copy Writing / Communications"
Graduate Trainee (Audit),S. C. To & Co.,JIS00335777,2024-08-21,2024-09-19,"Full Time, Graduate",HKD ($) 16K - 20K per month,3,Yuen Long Branch or Kowloon Bay Branch,"Carry out Audit Engagements
Prepare Financial Report
Ad-hoc assignment including tax investigation handling
Complete Tax Return and Calculation
Remuneration and Benefits:
Study and exam leave for professional exams (We are Authorised Employer certified by HKICPA.);
Clear career path with twice salary increment reviews per year;
Hardship, travelling and lunch allowance for outside jobs; 
Encourage work-life balance; limited overtime is required;
5-day work;
Double pay; and
Medical Package","Degree graduates of any disciplines, preferably majoring in accountancy;
0 to 2 year(s) relevant experience; Fluency in English, Cantonese and Mandarin;
Proficient in PC applications, e.g. Microsoft Word and Excel; and
Good initiative and communication skills",2023 - 2024,Any Discipline,"Bachelor, Master / Postgraduate Diploma, Higher Diploma / Associate Degree",None,"Established in 1989, S. C. To & Co. provide a wide range of quality professional services to meet clients’ needs and help maximise their business opportunities. Our aim is to build strong, constructive and long-term clientele relationship. With our professional and practical experience, we are confident to provide quality services to enhance value to our client’s businesses.
Our motto is:
Caring, Courtesy, Commitment, Communication and Continuous improvement
Over the past 30 years, we have been steadily growing to a medium-size CPA practice extending branches in Kowloon and New Territories. Our teams of qualified staff provide professional services to over 1,000 local and overseas enterprises of different industries. In particular, we have strong expertise in tax services. Our managing partner has more than 8 years of solid work experience in Hong Kong Inland Revenue Department and over 30 years of practical experiences in tax planning, field audit and tax investigation.",Please address your application to : Mr Kenneth To,"Yuen Long Branch: Room 1103-4 HSBC Building Yuen Long, 150-160 Castle Peak Road, Yuen Long, New Territories, Hong Kong Kowloon Bay Branch: Room 619, Chevalier Commercial Centre, 8 Wang Hoi Road, Kowloon Bay, Kowloon, Hong Kong",hr@scto.com.hk,2759 3313,,http://www.scto.com.hk,"Covering letter, resume, university transcript and HKDSE (or equivalent) certificates",Accounting / Audit / Taxation,Accounting / Auditing / Tax
General Practice Surveying Intern,CHFT Advisory & Appraisal Limited,JIS00335780,2024-08-21,2024-09-03,"Full Time, Graduate",Negotiable,3,"CHFT headquarters in Sheung Wan, Government Office in Cheung Sha Wan, plus site inspections in urban areas","Job Descriptions
Key responsibilities of the General Practice Surveying Intern are:
To assist in preparation of property valuation assignments, land matters and other property related consulting works;
To carry out physical inspection of properties when needed;
To collect market information for the above assignments and other researches;
To check the accuracy of our reports, research papers and other publications;
To carry out any other assignments as directed by senior staff.","Skills & Requirements
Fields of Study : Surveying or Property Management preferred
Intend to develop career path in real estate field
Required Level of Work Experience : None
Fluent spoken and written English and Chinese (Mandarin).
Writing skills and an analytical mind; specifically, an ability to articulate research findings
Good in Microsoft Office applications, particularly in Excel.",2024 - 2027,Any Discipline,"Master / Postgraduate Diploma, Bachelor",None,"We are recruiting Summer Intern for property valuation jobs in HK.
This would be a good exercise for students who are interested in real estate/ general practice surveying career path.","Please address your application to : Jenise Zheng, Senior Administrative Manager","Unit 6, 15/F, Low Block, Grand Millennium Plaza, 181 Queen's Road Central, HK",hr@chftaa.com,23014080,,https://www.chftaa.com,,Banking / Financial Services,Surveying
Marketing Assistant,Target Winway International Limited,JIS00335789,2024-08-21,2024-09-13,"Full Time, Graduate",HKD ($) 400 - 450 per day,1,Hong Kong - Hong Kong Island,"Marketing Assistant
Tasks include the following:
Social media marketing - Posts on Facebook, Twitter, Weibo and other sites
Write Blogs - about our Visa and Immigration Programs
Video Production - create new and innovative videos about our Immigration programs for YouTube Channel, Instagram and TikTok.
Contact client enquiries - by telephone, email, whatsapp or wechat for assistance.
Customer service - answer client's questions and provide documents or brochures.
Document preparation - assist clients with document preparation and guidance
Translation and Interpreting - on phone or video call
Client Meetings - meet clients via Video call or face-to-face meetings, in the office.","Fluent English language ability
Fluent Cantonese language ability
Fluent Mandarin language ability
Experience working with Visa or Immigration applications or similar case management
Excellent Customer service
Marketing knowledge and experience - online social media and offline
User of WhatsApp and WeChat Messenger Apps for communication with clients
Desirable, but not essential, to have knowledge of Immigration law, Visa applications, Education and Investments",2023 - 2026,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",1 year,"Global Immigration and Visa Agency
We are a Specialist Immigration Agency, comprising experienced Immigration Advisers, Migration Agents and Immigration Lawyers. We assist and advise you with your complete visa application, preparation of supporting documents and health and character checks until your visa is granted by the Government Immigration Office, including the Department of Home Affairs in Australia, Home Office in the UK and U.S. Department of State.
Specialist Global Immigration and Citizenship Advice and Assistance
Since 2004, VisaConnect has assisted thousands of clients, with temporary or permanent residence to Australia, United Kingdom and United States. Assistance with EU Permanent Residency Permits - Golden Visa in Greece, Portugal and Spain for EU Residency or Malta Citizenship by Naturalisation. Also, we assist with Citizenship by Descent applications for Austria, Germany, France, Spain, Lithuania and Poland. 
Education Agents and Global Mobility Consultants
Our Education Agents can assist clients with Education counselling and Student Course enrolment at International Schools or Universities, Buying Property Overseas, Business Set-Up, Bank Account opening, and arrangement of pilot trips to see a city and its study options, Property Inspection tour, and business or study tours.

VisaConnect co-operates in strategic partnerships with some of the very best Property Developers, Real Estate Agents, Business Advisers, Investment consultants, International Law Firms, and CPA Accountants.
Consultations for Student, Work, Skilled, Business and Investor Visas
We have excellent up-to-date knowledge of Immigration Laws, Regulations and Rules, and experience with a wide range of Global Visa categories that our Immigration Lawyers Hong Kong and Migration Agents of Australia can provide visa and immigration advice and assistance with your global visa application today! We assist with Skilled Migration to Australia, including: Work Employment Sponsored visa, Student visa, Parent visa, Business, Innovation and Investor visas, Golden Residence Permits and Citizenship by Investment.",Please address your application to : Marketing Assistant,"21st Floor, CMA Building, 64 Connaught Road Central HONG KONG",global-immigration@visaconnect.com,+852 8191 5561,,https://www.visaconnect.com,,Legal Services,"Legal / Compliance
Marketing / Market Research
Sales / Account Servicing / Business Development"
