Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Wealth Management Trainee Program – Hong Kong 財富管理實習生計劃 – 香港,MARVIN CHAN & COMPANY,"Management Trainee, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-20
Asia Customer Platforms 6-month Co-op Internship,Manulife Financial Asia Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-24
Wealth Management Manager (Hong Kong) /財富管理經理(香港),One Wealth Management Company Limited,"Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-20
Part time telesales,One Wealth Management Company Limited,"Part Time, Temporary",HKD ($),60 per hour,2024-09-20
Logistics Coordinator,Fides Solutions Limited,"Full Time, Graduate",HKD ($),17K - 19K per month,2024-09-24
Part time telesales,MARVIN CHAN & COMPANY,"Part Time, Temporary",HKD ($),60 per hour,2024-09-20
Wealth Management Manager (Hong Kong) /財富管理經理(香港),MARVIN CHAN & COMPANY,"Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
Trading Desk Analyst Intern,TF International Securities Group Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-08
金涌投资投研实习生,Hony Capital Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-20
漫畫班導師,LIBERAL ART EDUCATION CENTRE,"Part Time, Temporary",HKD ($),250 - 300 per hour,2024-09-24
Assistant Marketing Officer,Radiance Tech International Limited,"Full Time, Graduate",HKD ($),18K - 19K per month,2024-09-24
財富管理經理,晉昇貿易公司,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
保險及財策顧問,晉昇貿易公司,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
Property Consultant / Sale Manager (Real Estate Agency – Commercial),PROPWISER CONSULTANTS LIMITED,"Full Time, Graduate",HKD ($),12K - 20K per month,2024-09-24
全職補習社高中生物導師,Total Wise Limited,"Full Time, Graduate",HKD ($),23K - 26K per month,2024-09-23
[急聘]補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),23.5K - 24K per month,2024-09-23
GIS Trainee Intern (Full/Part Time),Insight Robotics Limited,"Full Time, Internship",HKD ($),80 - 90 per hour,2024-09-01
Social Worker I P2-SW1-SE,Christian Family Service Centre,"Full Time, Graduate",HKD ($),Negotiable,2024-09-23
Junior Algorithm Engineer (AI Trainee),Global Sharp International Limited,"Full Time, Graduate",HKD ($),23K - 27K per month,2024-09-08
Assistant Primary School Master/Mistress 助理小學學位教師 [Subjects for Application: (A) English Language (B) Mathematics (C) Music (D) Physical Education 可供申請任教的科目：(A)英國語文 (B) 數學 (C) 音樂 (D) 體育],Education Bureau,"Full Time, Graduate",HKD ($),35.08K - 67.85K per month,2024-09-13
Assistant Education Officer 助理教育主任 [Subjects: (A) Chinese Language (B) English Language (C) Mathematics (D) Chemistry (E) Geography (F) Information & Communication Technology (G) Visual Arts],Education Bureau,"Full Time, Graduate",HKD ($),35.08K - 81.51K per month,2024-09-13
Business Development Associate,Serica Holdings HK Limited,"Full Time, Internship",HKD ($),18K - 30K per month,2024-09-22
社工 P3-SW3-HTIV,Christian Family Service Centre,"Full Time, Graduate",HKD ($),Negotiable,2024-09-22
社工 P3-SW3-KNMH/KNPH/HO,Christian Family Service Centre,"Full Time, Graduate",HKD ($),Negotiable,2024-09-22
言語治療師 P1-ST-RHCS,Christian Family Service Centre,"Full Time, Graduate",HKD ($),Negotiable,2024-09-22
Clinical Psychologist (Half-time/Part-time) P1-CP-POT,Christian Family Service Centre,"Part Time, Temporary",HKD ($),Negotiable,2024-09-22
SEN Learning Support Instructor Trainee (English) (Full time) and 特殊學習需要學習支援導師(英文) (全職),Boaz International Education Institute Limited,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-09-22
香港基督少年軍2024 - 25區本計劃 - 功課輔導班導師,"The Boys' Brigade, Hong Kong","Part Time, Temporary",HKD ($),175 - 220 per hour,2024-09-21
香港基督少年軍2024 - 25區本計劃 - 興趣班導師,"The Boys' Brigade, Hong Kong","Part Time, Temporary",HKD ($),250 - 370 per hour,2024-09-21
Personal Assistant,Trinity Medical Imaging Centre Limited,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-09-22
行政助理 (5天)(鑽石山)/Administrative Assistant (5 days)(Diamond Hill),Bright Union International Limited,"Full Time, Graduate",HKD ($),14.8K per month,2024-09-07
行政助理 (6天)(鑽石山)/Administrative Assistant (6 days)(Diamond Hill),Bright Union International Limited,"Full Time, Graduate",HKD ($),17K per month,2024-09-07
Surveying Intern (Part-time),Midland Realty (Strategic) Limited,"Part Time, Internship",HKD ($),50 - 55 per hour,2024-09-22
公民與社會發展科導師 (5天) /CSD Tutor(5 days)/地理,Bright Union International Limited,"Full Time, Graduate",HKD ($),22K per month,2024-09-07
下午初中導師(4/5天)(鑽石山)/ S1-S3 Secondary School Tutor (PM)(4/5 days) (Diamond Hill),Bright Union International Limited,"Full Time, Graduate",HKD ($),8.3K - 10.3K per month,2024-09-07
兼職中小學導師 (鑽石山),Bright Union International Limited,"Part Time, Graduate",HKD ($),75 - 90 per hour,2024-09-07
兼職小學導師 (鑽石山)/Part-time Primary School Tutor (Diamond Hill),Bright Union International Limited,"Part Time, Graduate",HKD ($),75 - 90 per hour,2024-09-07
Audit Associate,T. O. Yip & Co. Limited,"Full Time, Graduate",HKD ($),16.5K - 17.5K per month,2024-09-20
"2024 Graduate Position - Accountant, Audit & Assurance Services (Dec 2024/Jan 2025 Intake)",RSM Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
TEMPORARY / PART-TIME ACCOUNTS CLERK [Ref. T/P AC-AP],Hutchison Property Group Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-21
到校(將軍澳區)(五) DIY玩具設計班/趣味IQ數學班/急救班導師(A04),Hong Kong Education Services Center,"Part Time, Internship",HKD ($),130 - 180 per hour,2024-09-15
到校(荔枝角區)(五)小學興趣班主教/助教導師(A07),Hong Kong Education Services Center,"Part Time, Internship",HKD ($),80 - 140 per hour,2024-09-15
Network and System Engineer – Information Technology Services Centre,The Hang Seng University of Hong Kong,"Full Time, Graduate",HKD ($),17K - 25K per month,2024-09-08
Research Assistant (Part-time) – Department of Management,The Hang Seng University of Hong Kong,"Part Time, Graduate",HKD ($),100 - 200 per hour,2024-09-08
Assistant Officer/Executive Assistant (Part-time) – Graduate School,The Hang Seng University of Hong Kong,"Part Time, Graduate",HKD ($),17K - 25K per month,2024-09-08
Sales & Marketing Executive Trainee (IT Solution),Togo Pacific Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Technician (Part-time) – Information Technology Services Centre,The Hang Seng University of Hong Kong,"Part Time, Graduate",HKD ($),17K - 25K per month,2024-09-08
銷售員/高級銷售員,MM HK Retail Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Assistant IT Technical Support Officer,Tsui Wah Efford Management Limited,"Full Time, Graduate",HKD ($),14K - 16K per month,2024-08-31
課程及就業助理 (合約) (編號：ERBER/89824),St. James' Settlement,"Full Time, Graduate",HKD ($),15K - 19K per month,2024-09-06
Manager Trainee 見習經理,Waihong Environmental Services Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-21
中文科教學助理,Good Hope School,"Full Time, Graduate",HKD ($),17.2K - 17.5K per month,2024-09-06
Company Secretarial Officer / Assistant,John Swire & Sons (H.K.) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Executive Assistant / Assistant Officer – Common Core Curriculum Office,The Hang Seng University of Hong Kong,"Full Time, Graduate",HKD ($),17K - 25K per month,2024-09-08
"Senior Officer, Technical Services (Policy Admin & Actuarial)",Zurich Services (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-10
Research Assistant I/II (several posts) in the School of English,"School of English, The University of Hong Kong","Full Time, Graduate",HKD ($),19K - 22K per month,2024-09-21
Trainee Solicitor (Sep 2024) /Junior Paralegal or Paralegal Junior Legal Executive or Legal Executive/Legal Clerk/Clerk Internship,"Lawrence Y. W. Ng & Co., Solicitors","Part Time, Graduate",HKD ($),70 - 80 per hour,2024-09-21
Sales Manager,Dragon Wealth Enterprises Limited,"Full Time, Graduate",HKD ($),20K - 35K per month,2024-09-20
Graduate Engineer,P&T (M&E) Limited,"Full Time, Graduate",HKD ($),11.2K - 22K per month,2024-09-18
"2025 Graduate Position - Consultant, Technology & Management Consulting (Aug 2025 Intake)",RSM Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Administrative Assistant,MediConCen Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-21
Promotions & Events Executive/Assistant,HYPERSPACE INNOVATIVE TECHNOLOGY LIMITED,"Full Time, Graduate",HKD ($),16K - 20K per month,2024-08-30
Marketing Trainee,Noblesse Living Limited,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-09-21
"Executive, Business Development (Engineering)",Jinchat Engineering (Hong Kong) Company Limited,"Full Time, Graduate",HKD ($),20K - 28K per month,2024-09-21
"2025 Graduate Position - Accountant, Audit & Assurance Services (Oct 2025 Intake)",RSM Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
兼職 數學專科班導師,Royal Learning Group Limited,"Part Time, Graduate",HKD ($),Negotiable,2024-09-20
兼職 到校面試培訓導師,Royal Learning Group Limited,"Part Time, Graduate",HKD ($),Negotiable,2024-09-20
全職 小學功課輔導班導師 (荃灣),Royal Learning Group Limited,"Full Time, Graduate",HKD ($),18K per month,2024-09-20
Assistant Officer - Credit Control,DCH Auriga (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Catering Sales Manager,Dragon Wealth Enterprises Limited,"Full Time, Graduate",HKD ($),20K - 24K per month,2024-09-20
Legal Affairs Officer,Luk Fook Holdings Company Limited,"Full Time, Graduate",HKD ($),25K - 28K per month,2024-09-21
Part-time MT intern (IT Programming) (Prior experience is a plus. Year 1 also welcomed),Fundamentum Limited,"Part Time, Internship",HKD ($),60 - 100 per hour,2024-09-06
Senior Leasing Officer,Luk Fook Holdings Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Part-time MT intern (Corporate Consulting) (year 1 welcome),Fundamentum Limited,"Part Time, Internship",HKD ($),60 - 100 per hour,2024-09-06
Graphic & Packaging Designer (Visual Merchandising Dept.),Luk Fook Holdings Company Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-09-21
Software Developer,COL Consulting Limited,"Full Time, Graduate",HKD ($),18K - 28K per month,2024-09-17
SEN Learning Support Instructor Trainee ( Chinese) (Full time) and 特殊學習需要學習支援導師(中文) (全職),Boaz International Education Institute Limited,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-09-21
(Part Time / Freelance) Dodgeball Tutor (兼職 / 自由工作者) 躲避盤 導師,Life Learn Limited,"Part Time, Temporary",HKD ($),150 - 200 per hour,2024-09-21
教學助理,Lok Sin Tong Ku Chiu Man Secondary School,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Analyst Programmer,Pastel Tech Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
全職英文教室導師 Centre Tutor (English) - 馬鞍山 / 荃灣 / 大角咀,EDUSMART COMPANY LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
初中導師(6天)(天水圍天澤),Bright Union International Limited,"Full Time, Graduate",HKD ($),18.5K per month,2024-09-06
初中導師(6天)(天水圍銀座),Bright Union International Limited,"Full Time, Graduate",HKD ($),18K per month,2024-09-07
見習助理統籌主任 (天水圍銀座),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-07
見習助理統籌主任 (天水圍天澤),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-07
销售交易岗,Shanxi Securities International Financial Holdings Limited,"Full Time, Graduate",HKD ($),20K - 35K per month,2024-09-21
全職中文教室導師 Centre Tutor - 荃灣,EDUSMART COMPANY LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
staff accountant,Confucius International CPA Limiterd,"Full Time, Graduate",HKD ($),18K - 30K per month,2024-09-21
Assistant Engineer/Assistant Engineer Trainee (5 days' work),Maxgrand Limited,"Full Time, Graduate",HKD ($),16K - 22K per month,2024-09-21
Project Coordinator/ Sales Coordinator,Maxgrand Limited,"Full Time, Graduate",HKD ($),15K - 16K per month,2024-09-21
Draftsman ( 5 days ),Maxgrand Limited,"Full Time, Temporary",HKD ($),16K per month,2024-09-21
兼職特殊幼兒工作員 – 天水圍兒童學習及發展支援中心,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Part Time, Graduate",HKD ($),Negotiable,2024-09-01
School Social Worker - Stationing Secondary School,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Full Time, Graduate",HKD ($),Negotiable,2024-09-01
Assistant Environmental Scientist,Cinotech Consultants Limited,"Part Time, Temporary",HKD ($),550 - 800 per day,2024-09-08
Operations and Administration Officer,MediConCen Limited,"Full Time, Graduate",HKD ($),17K - 19K per month,2024-09-21
Research Engineer,AI Chip Center for Emerging Smart Systems Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Post-doctoral Fellow,AI Chip Center for Emerging Smart Systems Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Research Assistant (RTH),AI Chip Center for Emerging Smart Systems Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
"Swimming Coach, Baby & Me (Part-time, Hourly) - ESF Explore",The English Schools Foundation,"Part Time, Temporary",HKD ($),Negotiable,2024-08-31
Marketing Executive,GOGO TECH LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
"Tempoary Assistant, Communications and External Affairs (2 Months, subject to renewal) (Ref: CEA/TASST)",The Law Society of Hong Kong,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
"Assistant, Compliance (Ref: COM/IC/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Registration (Ref: COM/REG/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Communications and External Affairs (Ref: CEA/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Standards & Development (Ref: S&D/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Temporary Assistant, Compliance (Short-term contract, subject to renewal) (Ref: COM/TASST)",The Law Society of Hong Kong,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
兼職中小學功課英文導師和助教,Axios Investment and Consulting Limited,"Part Time, Temporary",HKD ($),80 - 180 per hour,2024-09-21
Ticketing Cashier,Ark Expo Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
Systems Engineer for Hedge Funds (Part-Time Intern),Premier Technology Global Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-19
Systems Engineer for Hedge Funds (Full time in Hong Kong),Premier Technology Global Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
HKTV MT Recruitment Event 2024,Hong Kong Technology Venture Company Limited,"Job at oversea location, Management Trainee, Full Time, Graduate",HKD ($),Negotiable,2024-09-08
Finance Intern,GCL Technology Holdings Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-21
中小學導師(6天) (鑽石山),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-04
初中數理導師(6天) (鑽石山),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
見習统籌主任(6天) (鑽石山),Bright Union International Limited,"Full Time, Graduate",HKD ($),22K per month,2024-09-06
見習助理統籌主任(6日) (屯門市中心 ),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門友愛),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門盈豐),Bright Union International Limited,"Full Time, Graduate",HKD ($),20K per month,2024-09-06
Site Logistics Technician,Trinseo (Hong Kong) Limited,"Full Time, Graduate",HKD ($),19K - 22K per month,2024-09-20
初中導師(6天)(屯門友愛),Bright Union International Limited,"Full Time, Graduate",HKD ($),0 - 18.5K per month,2024-09-06
初中導師(6天)(屯門盈豐),Bright Union International Limited,"Full Time, Graduate",HKD ($),18.5K per month,2024-09-06
"Project Intern, Property & Casualty Underwriting (Catastrophe Analytic)",Peak Reinsurance Company Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-20
Community Associate,Access Benefit Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-20
Process Technician,Trinseo (Hong Kong) Limited,"Full Time, Graduate",HKD ($),19K - 22K per month,2024-09-20
Xiaomi 2025 Future Star Program,Xiaomi Corporation,"Full Time, Graduate",CNY (¥),40K - 100K per month,2024-09-20
Data Analyst Part Time Intern,Landcrowd Limited,"Part Time, Temporary",HKD ($),400 per day,2024-09-19
2024/25財富管理實習生,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-20
PMO (Project Management Office) Trainee - Enterprise CRM / ERP / HCM,Global Sharp International Limited,"Full Time, Graduate",HKD ($),25K - 27K per month,2024-09-05
課餘託管服務 – 兼職課託小組導師,YMCA of Hong Kong,"Part Time, Temporary",HKD ($),80 - 100 per hour,2024-09-20
Business Development Executive,IT Channel (Asia) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-20
Assistant Software Engineer / Software Engineer,IT Channel (Asia) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-20
"Business Development Specialist, Urbanism + Planning",AECOM Asia Company Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-20
Clerk,Crypto HK Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-08
助理導師,HONG KONG JUVENILE CARE CENTRE,"Full Time, Graduate",HKD ($),18K - 19.6K per month,2024-09-20
家舍導師,HONG KONG JUVENILE CARE CENTRE,"Full Time, Graduate",HKD ($),24.5K - 25.12K per month,2024-09-20
Content Marketing Intern,ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
功課輔導班導師(到校),HONG KONG PLAYGROUND ASSOCIATION-SOCIAL ENTERPRISE,"Part Time, Temporary",HKD ($),140 - 175 per hour,2024-09-13
Project Assistant in Centre for Language in Education (Ref: 2400941),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),28.75K per month,2024-09-05
到社區中心(觀塘區順利邨)(一至五)小學功課輔導班導師(AH05),Hong Kong Education Services Center,"Part Time, Temporary",HKD ($),75 - 80 per hour,2024-09-15
Intern - Business Process Analyst (Contract role from Sep 2024 - Feb 2025),Lidl & Kaufland Asia Pte. Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-20
Firmware Engineer (Performance Modeling & Analysis),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
Part-time Associate (2 - 3 days per week),IPR Ogilvy Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Intern - Risk Management,CMB International Capital Corporation Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-13
Guest Services Officer,Noah's Ark Hotel and Resort,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-20
Event Ambassador,Betterment Asia Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Design Verification Engineer,"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
"Intern, Blog Content Operations",艺龙国际旅行香港有限公司,"Part Time, Internship",HKD ($),50 - 55 per hour,2024-09-20
Part Time Content Writer (Maths),EDUSMART COMPANY LIMITED,"Part Time, Temporary",HKD ($),60 per hour,2024-09-20
Phyiscal Design Engineer (Fresh Graduate Welcomed),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 30K per month,2024-09-20
Part-time Mathematics teachers,Nobal Limited,"Part Time, Temporary",HKD ($),250 - 350 per hour,2024-08-31
Digital Design & Verification Engineer (Fresh Graduate Welcomed),"Huawei Tech. Investment Co., Limited","Full Time, Graduate",HKD ($),26K - 29K per month,2024-09-20
project officer,Benchmark Consulting Engineers Ltd,"Full Time, Graduate",HKD ($),20K - 21K per month,2024-09-20
社會工作助理 (Social Work Assistant) - Halfway House,The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),25K - 26K per month,2024-09-02
Lab Technician / Gemmologist,Gubelin Gem Lab Limited,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-09-20
社會工作助理 (Social Work Assistant) - 「燃希攻略 – 優化康復治療及續顧服務計劃」2.0,The Society for the Aid and Rehabilitation of Drug Abusers,"Full Time, Graduate",HKD ($),25K - 25.5K per month,2024-09-02
Marketing Associate,Decatron Innovation Limited,"Full Time, Graduate",HKD ($),16.5K - 18K per month,2024-09-19
Youth Work Officer 青年工作幹事(註冊學位社工)(洪水橋青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-20
Community Associate (Part time),Access Benefit Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-09-20
Social Media Assistant,PortfoPlus Limited,"Full Time, Graduate",HKD ($),9K - 12K per month,2024-09-15
Wealth Management Intern,ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
"Intern, Retail Banking (Full/Part time)",ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-20
UX/ UI Designer,PortfoPlus Limited,"Full Time, Internship",HKD ($),8K - 12K per month,2024-09-08
Client Services Representative,QIMA TESTING (HK) LIMITED,"Full Time, Graduate",HKD ($),15K per month,2024-08-31
Part Time Client Services Representative,QIMA TESTING (HK) LIMITED,"Part Time, Temporary",HKD ($),60 per hour,2024-08-31
Recruitment Assistant,peaceful east management co. limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Midas Tech 2025 Summer Internship Program,Midas Technologies,"Full Time, Internship",CNY (¥),500 - 1K per day,2024-09-20
市場推廣統籌 (合約) (編號：ERBER/89624),St. James' Settlement,"Full Time, Graduate",HKD ($),18.8K - 24K per month,2024-09-06
Financial Planner / Wealth Manager,Money Concepts (Asia) Holdings Limited,"Full Time, Graduate",HKD ($),10K - 13K per month,2024-09-20
Part-time Helper - Industry Practices and Research,Hong Kong Green Building Council Limited (HKGBC),"Part Time, Temporary",HKD ($),65 - 100 per hour,2024-09-20
System Support Engineer,Million Tech Development Limited,"Full Time, Graduate",HKD ($),22K - 28K per month,2024-09-20
Associate Business Analyst (Software Development and Implementation),Million Tech Development Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-20
Software Engineer III,Million Tech Development Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-20
Business Officer (IT),Million Tech Development Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-20
Programmer (Java / ASP .NET) (5 Days Work),Million Tech Development Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-20
Programmer,Tradelink Technologies Limited,"Part Time, Internship",HKD ($),80 - 85 per hour,2024-09-15
Part-time - Membership Services Assistant (Hotline),The Hong Kong Jockey Club,"Part Time, Temporary",HKD ($),Negotiable,2024-09-16
Junior Designer,DIA (ASIA PACIFIC) COMPANY LIMITED,"Full Time, Graduate",HKD ($),14K - 16.5K per month,2024-09-14
Assistant,Alles Compliance Consulting Limited,"Full Time, Graduate",HKD ($),16K - 19K per month,2024-09-14
E-Commerce Officer,Hong Kong Technology Venture Company Limited,"Full Time, Graduate",HKD ($),17K - 22K per month,2024-09-19
Audit assistant,Stella W.M. Kwok & Co,"Full Time, Graduate",HKD ($),18K per month,2024-09-18
Family Financial Planning Consultant,The HAIDER Family Office Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-19
Bank Operation intern(Retail Banking Services),ZhongAn Technologies International Group Limited,"Part Time, Internship",HKD ($),50 per hour,2024-09-10
Assistant to Chairman,Sheraton Valuers Limited,"Full Time, Graduate",HKD ($),20K - 30K per month,2024-09-19
Part Time Digital Ad Assistant,Hong Kong Technology Venture Company Limited,"Part Time, Temporary",HKD ($),60 - 80 per hour,2024-09-19
"Teaching Assistant (Citizenship, Economics and Society / Citizenship and Social Development)",Good Hope School,"Full Time, Graduate",HKD ($),17K - 17.5K per month,2024-09-04
Recruitment Consultant,Recruit Express (Hong Kong) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-08
"(Campus recruiting-1 year contract)Officer, Investment Customer Services(type 1)",ZhongAn Technologies International Group Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-19
Intern - Low Code Development,Lidl & Kaufland Asia Pte. Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-19
Accenture Song - Digital Marketing PMO Analyst,Accenture Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Investment Analyst (Crypto),Spartan Capital (HK) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
STEM / AI Instructor - Freelance,Una Technologies Limited,"Part Time, Temporary",HKD ($),180 - 230 per hour,2024-09-19
Assistant Quantity Surveyor,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Administration Assistant,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
Merchandiser / Assistant Merchandiser (Garment),Excellent Jade Limited,"Full Time, Graduate",HKD ($),16K - 21K per month,2024-08-31
Accounts Clerk,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
行政助理 (AA) (合約) (編號 :EOL/88024),St. James' Settlement,"Full Time, Graduate",HKD ($),Negotiable,2024-08-30
Service Engineer (Equipment),Teltec Semiconductor Pacific Ltd,"Full Time, Graduate",HKD ($),15K - 30K per month,2024-09-19
Application Engineer (Equipment),Teltec Semiconductor Pacific Ltd,"Full Time, Graduate",HKD ($),15K - 30K per month,2024-09-19
English Storytelling Tutor,iSpeech Limited,"Part Time, Internship",HKD ($),120 - 150 per hour,2024-09-06
兒童普通話故事課程導師,iSpeech Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-06
兒童故事課程導師,iSpeech Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-06
Teaching Position (STEM Education) for Academic Year 2024-2025 (Part-time: hourly-based),Edvenue Limited,"Part Time, Temporary",HKD ($),155 - 230 per hour,2024-08-31
Student Mentor,Hong Kong Scholars Education and Philanthropy Foundation Limited,"Part Time, Temporary",HKD ($),1.25K per month,2024-09-19
Web Designer Intern,Young Living Hong Kong Limited,"Part Time, Internship",HKD ($),60 - 70 per hour,2024-09-19
Assistant Executive/ Executive Order Management Apparel & Accessories,World Cat Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-17
FB and IG editor,Hong Kong Christian Cancer Care Association,"Part Time, Temporary",HKD ($),50 - 55 per hour,2024-09-16
HNW Wealth Management Manager,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
2024/25Wealth Management Internship,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
Quality Controller Assistant,Tung Chun Management Services Co. Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-19
Analyst Programmer Trainee,Togo Pacific Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
Digital Content Creator / Copywriter- English/ Chinese,Adbees Digital Limited,"Part Time, Temporary",HKD ($),40 - 60 per hour,2024-09-19
Multimedia/Graphic Designer,Adbees Digital Limited,"Part Time, Temporary",HKD ($),40 - 60 per hour,2024-09-19
